dma_code,dma_name,geo_code,nielsen_name,n_counties,total_pop,pct_hisp,pct_white_nh,pct_black_nh,pct_asian_nh
500,Portland-Auburn ME,US-ME-500,PORTLAND-AUBURN,11,1067354,2.46,90.98,2.74,1.54
501,New York NY,US-NY-501,NEW YORK,31,22074238,25.78,44.9,15.14,12.17
502,Binghamton NY,US-NY-502,BINGHAMTON,4,333938,4.91,84.63,4.17,3.76
503,Macon GA,US-GA-503,MACON,23,688656,5.53,49.52,40.8,1.85
504,Philadelphia PA,US-PA-504,PHILADELPHIA,18,8485373,14.63,58.08,18.15,6.74
505,Detroit MI,US-MI-505,DETROIT,9,4970791,5.52,65.3,20.3,5.98
506,Boston MA-Manchester NH,US-MA-506,BOSTON,16,6952359,12.21,70.13,7.06,8.32
507,Savannah GA,US-GA-507,SAVANNAH,20,1047072,10.0,57.09,28.28,2.01
508,Pittsburgh PA,US-PA-508,PITTSBURGH,16,2810907,2.61,84.63,7.6,2.85
509,Ft. Wayne IN,US-IN-509,FORT WAYNE,12,762092,7.45,80.12,6.43,3.42
510,Cleveland-Akron (Canton) OH,US-OH-510,CLEVELAND-AKRON,17,3837267,5.46,74.98,14.38,2.58
511,Washington DC (Hagerstown MD),US-DC-511,"WASHINGTON, DC-HAGRSTWN",40,7359679,17.35,45.65,23.12,10.41
512,Baltimore MD,US-MD-512,BALTIMORE,11,3057378,8.68,53.73,28.32,6.22
513,Flint-Saginaw-Bay City MI,US-MI-513,FLINT-SAGINAW-BAY CITY,13,1122057,5.34,79.49,10.98,1.16
514,Buffalo NY,US-NY-514,BUFFALO,10,1599400,5.99,78.14,9.25,3.71
515,Cincinnati OH,US-OH-515,CINCINNATI,24,2493149,4.82,77.28,11.96,3.32
516,Erie PA,US-PA-516,ERIE,3,387212,4.03,86.03,5.6,1.95
517,Charlotte NC,US-NC-517,CHARLOTTE,22,3612473,12.38,60.15,20.32,4.62
518,Greensboro-High Point-Winston Salem NC,US-NC-518,GREENSBORO-HIGH POINT-WINSTON SALEM,15,1904096,12.17,60.96,21.3,3.03
519,Charleston SC,US-SC-519,"CHARLESTON, SC",6,1005099,7.67,62.65,25.05,2.07
520,Augusta GA,US-GA-520,AUGUSTA,18,754081,6.51,51.22,37.32,2.06
521,Providence RI-New Bedford MA,US-RI-521,PROVIDENCE-NEW BEDFORD,6,1700901,16.07,70.99,6.78,3.45
522,Columbus GA,US-GA-522,"COLUMBUS, GA",16,617374,7.11,50.46,36.92,2.83
523,Burlington VT-Plattsburgh NY,US-VT-523,BURLINGTON-PLATTSBURGH,17,864585,2.81,90.4,1.83,2.27
524,Atlanta GA,US-GA-524,ATLANTA,55,7615856,13.08,46.62,31.33,6.56
525,Albany GA,US-GA-525,"ALBANY, GA",17,406165,9.43,48.89,38.72,1.07
526,Utica NY,US-NY-526,UTICA,3,348456,6.43,82.85,4.89,3.56
527,Indianapolis IN,US-IN-527,INDIANAPOLIS,32,3127476,8.36,72.39,12.69,3.99
