keywords,time,resolution,geo_name,geo_code,value
korean skincare||skincare,today 12-m,REGION,Wyoming,US-WY,3|97
korean skincare||skincare,today 12-m,REGION,Hawaii,US-HI,10|90
korean skincare||skincare,today 12-m,REGION,District of Columbia,US-DC,7|93
korean skincare||skincare,today 12-m,REGION,California,US-CA,7|93
korean skincare||skincare,today 12-m,REGION,New York,US-NY,5|95
korean skincare||skincare,today 12-m,REGION,Nevada,US-NV,7|93
korean skincare||skincare,today 12-m,REGION,Washington,US-WA,6|94
korean skincare||skincare,today 12-m,REGION,Florida,US-FL,6|94
korean skincare||skincare,today 12-m,REGION,New Jersey,US-NJ,6|94
korean skincare||skincare,today 12-m,REGION,Utah,US-UT,6|94
korean skincare||skincare,today 12-m,REGION,Kansas,US-KS,4|96
korean skincare||skincare,today 12-m,REGION,Texas,US-TX,6|94
korean skincare||skincare,today 12-m,REGION,Maryland,US-MD,5|95
korean skincare||skincare,today 12-m,REGION,Virginia,US-VA,5|95
korean skincare||skincare,today 12-m,REGION,Arizona,US-AZ,5|95
korean skincare||skincare,today 12-m,REGION,Alaska,US-AK,7|93
korean skincare||skincare,today 12-m,REGION,Oregon,US-OR,6|94
korean skincare||skincare,today 12-m,REGION,Colorado,US-CO,5|95
korean skincare||skincare,today 12-m,REGION,Illinois,US-IL,5|95
korean skincare||skincare,today 12-m,REGION,Delaware,US-DE,6|94
korean skincare||skincare,today 12-m,REGION,Massachusetts,US-MA,4|96
korean skincare||skincare,today 12-m,REGION,Georgia,US-GA,5|95
korean skincare||skincare,today 12-m,REGION,Minnesota,US-MN,6|94
korean skincare||skincare,today 12-m,REGION,Connecticut,US-CT,5|95
korean skincare||skincare,today 12-m,REGION,Louisiana,US-LA,4|96
korean skincare||skincare,today 12-m,REGION,Tennessee,US-TN,5|95
korean skincare||skincare,today 12-m,REGION,Nebraska,US-NE,6|94
korean skincare||skincare,today 12-m,REGION,Idaho,US-ID,6|94
korean skincare||skincare,today 12-m,REGION,Rhode Island,US-RI,5|95
korean skincare||skincare,today 12-m,REGION,North Carolina,US-NC,5|95
korean skincare||skincare,today 12-m,REGION,Oklahoma,US-OK,5|95
korean skincare||skincare,today 12-m,REGION,South Carolina,US-SC,5|95
korean skincare||skincare,today 12-m,REGION,Pennsylvania,US-PA,4|96
korean skincare||skincare,today 12-m,REGION,New Mexico,US-NM,5|95
korean skincare||skincare,today 12-m,REGION,Alabama,US-AL,5|95
korean skincare||skincare,today 12-m,REGION,Arkansas,US-AR,5|95
korean skincare||skincare,today 12-m,REGION,Kentucky,US-KY,5|95
korean skincare||skincare,today 12-m,REGION,Vermont,US-VT,5|95
korean skincare||skincare,today 12-m,REGION,Michigan,US-MI,4|96
korean skincare||skincare,today 12-m,REGION,Missouri,US-MO,5|95
korean skincare||skincare,today 12-m,REGION,Mississippi,US-MS,5|95
korean skincare||skincare,today 12-m,REGION,Wisconsin,US-WI,5|95
korean skincare||skincare,today 12-m,REGION,Iowa,US-IA,5|95
korean skincare||skincare,today 12-m,REGION,North Dakota,US-ND,5|95
korean skincare||skincare,today 12-m,REGION,Indiana,US-IN,5|95
korean skincare||skincare,today 12-m,REGION,Ohio,US-OH,4|96
korean skincare||skincare,today 12-m,REGION,West Virginia,US-WV,6|94
korean skincare||skincare,today 12-m,REGION,New Hampshire,US-NH,4|96
korean skincare||skincare,today 12-m,REGION,Maine,US-ME,5|95
korean skincare||skincare,today 12-m,REGION,Montana,US-MT,5|95
korean skincare||skincare,today 12-m,REGION,South Dakota,US-SD,5|95
korean skincare||skincare,today 12-m,DMA,Cheyenne WY-Scottsbluff NE,759,3|97
korean skincare||skincare,today 12-m,DMA,Honolulu HI,744,10|90
korean skincare||skincare,today 12-m,DMA,San Francisco-Oakland-San Jose CA,807,7|93
korean skincare||skincare,today 12-m,DMA,Los Angeles CA,803,7|93
korean skincare||skincare,today 12-m,DMA,Miami-Ft. Lauderdale FL,528,6|94
korean skincare||skincare,today 12-m,DMA,San Diego CA,825,6|94
korean skincare||skincare,today 12-m,DMA,New York NY,501,6|94
korean skincare||skincare,today 12-m,DMA,Palm Springs CA,804,8|92
korean skincare||skincare,today 12-m,DMA,Las Vegas NV,839,8|92
korean skincare||skincare,today 12-m,DMA,Seattle-Tacoma WA,819,7|93
korean skincare||skincare,today 12-m,DMA,Sacramento-Stockton-Modesto CA,862,6|94
korean skincare||skincare,today 12-m,DMA,Fairbanks AK,745,11|89
korean skincare||skincare,today 12-m,DMA,Baton Rouge LA,716,5|95
korean skincare||skincare,today 12-m,DMA,Wichita-Hutchinson KS,678,3|97
korean skincare||skincare,today 12-m,DMA,Washington DC (Hagerstown MD),511,5|95
korean skincare||skincare,today 12-m,DMA,Austin TX,635,6|94
korean skincare||skincare,today 12-m,DMA,Jonesboro AR,734,9|91
korean skincare||skincare,today 12-m,DMA,Santa Barbara-Santa Maria-San Luis Obispo CA,855,7|93
korean skincare||skincare,today 12-m,DMA,Gainesville FL,592,8|92
korean skincare||skincare,today 12-m,DMA,Greenwood-Greenville MS,647,10|90
korean skincare||skincare,today 12-m,DMA,Atlanta GA,524,5|95
korean skincare||skincare,today 12-m,DMA,Orlando-Daytona Beach-Melbourne FL,534,6|94
korean skincare||skincare,today 12-m,DMA,Phoenix AZ,753,6|94
korean skincare||skincare,today 12-m,DMA,Houston TX,618,6|94
korean skincare||skincare,today 12-m,DMA,San Angelo TX,661,9|91
korean skincare||skincare,today 12-m,DMA,Salt Lake City UT,770,6|94
korean skincare||skincare,today 12-m,DMA,Portland OR,820,6|94
korean skincare||skincare,today 12-m,DMA,Fresno-Visalia CA,866,7|93
korean skincare||skincare,today 12-m,DMA,West Palm Beach-Ft. Pierce FL,548,5|95
korean skincare||skincare,today 12-m,DMA,Chicago IL,602,5|95
korean skincare||skincare,today 12-m,DMA,Denver CO,751,5|95
korean skincare||skincare,today 12-m,DMA,Tampa-St. Petersburg (Sarasota) FL,539,5|95
korean skincare||skincare,today 12-m,DMA,Anchorage AK,743,7|93
korean skincare||skincare,today 12-m,DMA,Lafayette IN,582,7|93
korean skincare||skincare,today 12-m,DMA,Dallas-Ft. Worth TX,623,5|95
korean skincare||skincare,today 12-m,DMA,Lake Charles LA,643,7|93
korean skincare||skincare,today 12-m,DMA,Baltimore MD,512,5|95
korean skincare||skincare,today 12-m,DMA,Jacksonville FL,561,6|94
korean skincare||skincare,today 12-m,DMA,Wilmington NC,550,5|95
korean skincare||skincare,today 12-m,DMA,Colorado Springs-Pueblo CO,752,7|93
korean skincare||skincare,today 12-m,DMA,Charlottesville VA,584,7|93
korean skincare||skincare,today 12-m,DMA,Nashville TN,659,5|95
korean skincare||skincare,today 12-m,DMA,Boston MA-Manchester NH,506,4|96
korean skincare||skincare,today 12-m,DMA,Laredo TX,749,8|92
korean skincare||skincare,today 12-m,DMA,Ft. Smith-Fayetteville-Springdale-Rogers AR,670,7|93
korean skincare||skincare,today 12-m,DMA,Charlotte NC,517,5|95
korean skincare||skincare,today 12-m,DMA,Monterey-Salinas CA,828,6|94
korean skincare||skincare,today 12-m,DMA,Minneapolis-St. Paul MN,613,6|94
korean skincare||skincare,today 12-m,DMA,Kansas City MO,616,5|95
korean skincare||skincare,today 12-m,DMA,Omaha NE,652,6|94
korean skincare||skincare,today 12-m,DMA,Philadelphia PA,504,5|95
korean skincare||skincare,today 12-m,DMA,San Antonio TX,641,6|94
korean skincare||skincare,today 12-m,DMA,Bakersfield CA,800,7|93
korean skincare||skincare,today 12-m,DMA,Lubbock TX,651,6|94
korean skincare||skincare,today 12-m,DMA,Richmond-Petersburg VA,556,6|94
